uf,codigo_municipio,municipio,CÓDIGO DO MUNICÍPIO - IBGE,populacao,estabelecimentos_food_service,food_service_por_100mil,estabelecimentos_recentes,taxa_recencia,porte_dominante,porte_maior,taxa_porte_maior,Microempresa,Empresa de Pequeno Porte,Demais,Não informado,Não encontrado,segmento_dominante,total_segmentos,Alimentação preparada,Cantinas,Catering empresarial,Eventos e buffet,Lanchonetes,Outros Food Service,Padarias e confeitaria,Restaurantes
CE,1527,QUIXADA,2311306.0,89190.0,433,485.48043502634823,222,51.27020785219399,Microempresa,21,4.849884526558892,412,13,8,0,0,Restaurantes,433,60,1,20,20,96,70,39,127
SP,6647,LOUVEIRA,3527306.0,55314.0,431,779.1879090284557,209,48.49187935034803,Microempresa,34,7.888631090487238,397,5,29,0,0,Lanchonetes,431,83,5,32,6,119,85,39,62
SP,6389,DRACENA,3514403.0,46800.0,431,920.940170940171,182,42.22737819025522,Microempresa,7,1.6241299303944314,424,5,2,0,0,Lanchonetes,431,91,7,4,10,129,72,46,72
CE,1495,PACATUBA,2309706.0,87219.0,431,494.1583829211525,229,53.1322505800464,Microempresa,7,1.6241299303944314,424,1,6,0,0,Lanchonetes,431,79,0,31,9,120,72,37,83
BA,3599,ITACARE,2914901.0,29641.0,426,1437.1984750851861,206,48.35680751173709,Microempresa,7,1.643192488262911,419,7,0,0,0,Restaurantes,426,50,0,14,8,101,63,19,171
PR,7525,CORNELIO PROCOPIO,4106407.0,45614.0,426,933.9237953259965,171,40.140845070422536,Microempresa,13,3.051643192488263,413,9,4,0,0,Lanchonetes,426,57,3,12,8,163,67,36,80
PR,7683,MARECHAL CANDIDO RONDON,4114609.0,59291.0,424,715.1169654753672,169,39.85849056603774,Microempresa,17,4.009433962264151,407,14,3,0,0,Lanchonetes,424,62,1,10,18,117,108,38,70
BA,3629,ITAPETINGA,2916401.0,68714.0,423,615.595075239398,173,40.8983451536643,Microempresa,11,2.6004728132387704,412,7,4,0,0,Lanchonetes,423,50,2,13,12,131,65,55,95
RJ,5873,PARAIBA DO SUL,3303708.0,44485.0,422,948.6343711363381,166,39.33649289099526,Microempresa,6,1.4218009478672986,416,6,0,0,0,Lanchonetes,422,97,3,7,4,116,64,55,76
BA,3901,SENHOR DO BONFIM,2930105.0,78193.0,421,538.4113667463839,169,40.142517814726844,Microempresa,12,2.8503562945368173,409,11,1,0,0,Restaurantes,421,55,0,3,12,109,84,45,113
SP,6857,PIEDADE,3537800.0,54291.0,421,775.4508113683668,159,37.76722090261283,Microempresa,10,2.375296912114014,411,9,1,0,0,Lanchonetes,421,62,7,6,22,145,82,31,66
SE,3157,ITABAIANA,2802908.0,110041.0,420,381.6759207931589,171,40.714285714285715,Microempresa,9,2.142857142857143,411,5,4,0,0,Lanchonetes,420,33,5,6,11,113,62,86,104
CE,1455,MARANGUAPE,2307700.0,108323.0,419,386.8061261227994,180,42.959427207637226,Microempresa,12,2.863961813842482,407,6,6,0,0,Lanchonetes,419,58,2,16,14,120,63,43,103
SC,8073,CANOINHAS,4203808.0,57169.0,418,731.1654917875072,186,44.49760765550239,Microempresa,9,2.15311004784689,409,5,4,0,0,Lanchonetes,418,73,4,8,11,137,72,33,80
SP,6435,GARCA,3516705.0,43051.0,418,970.9414415460733,170,40.66985645933015,Microempresa,6,1.4354066985645932,412,4,2,0,0,Outros Food Service,418,64,5,9,8,113,122,41,56
SP,6331,CERQUILHO,3511508.0,46547.0,418,898.0170580273701,208,49.760765550239235,Microempresa,22,5.263157894736842,396,16,6,0,0,Alimentação preparada,418,107,2,12,12,89,63,73,60
RS,9825,PAROBE,4314050.0,53569.0,417,778.4352890664377,215,51.55875299760192,Microempresa,12,2.877697841726619,405,8,4,0,0,Lanchonetes,417,57,1,17,12,112,94,50,74
CE,991,ITAITINGA,2306256.0,74250.0,417,561.6161616161617,252,60.431654676258994,Microempresa,16,3.8369304556354913,401,7,9,0,0,Lanchonetes,417,87,1,20,16,112,64,35,82
PR,7591,IBIPORA,4109807.0,53486.0,416,777.7736230041506,190,45.67307692307692,Microempresa,13,3.125,403,7,6,0,0,Lanchonetes,416,89,1,12,11,114,78,51,60
RJ,5871,PARACAMBI,3303609.0,43451.0,414,952.7974039722907,174,42.028985507246375,Microempresa,17,4.1062801932367154,397,14,3,0,0,Lanchonetes,414,87,8,14,6,107,68,36,88
RO,29,ROLIM DE MOURA,1100288.0,63336.0,413,652.0778072502211,202,48.91041162227603,Microempresa,22,5.326876513317192,391,20,2,0,0,Lanchonetes,413,89,2,7,12,116,61,45,81
RJ,774,IGUABA GRANDE,3301876.0,29681.0,413,1391.4625518008154,231,55.932203389830505,Microempresa,8,1.937046004842615,405,7,1,0,0,Lanchonetes,413,91,0,7,8,102,64,46,95
MG,4917,OURO BRANCO,3145901.0,40853.0,413,1010.9416689104838,182,44.06779661016949,Microempresa,18,4.358353510895883,395,7,11,0,0,Lanchonetes,413,91,1,20,6,96,56,53,90
MG,5191,SANTA RITA DO SAPUCAI,3159605.0,42703.0,411,962.4616537479802,180,43.79562043795621,Microempresa,22,5.35279805352798,389,17,5,0,0,Lanchonetes,411,70,0,13,15,135,68,33,77
RJ,5899,SAO JOAO DA BARRA,3305000.0,38756.0,410,1057.9007121477964,177,43.170731707317074,Microempresa,12,2.9268292682926833,398,5,7,0,0,Restaurantes,410,72,2,22,8,87,83,24,112
PE,2423,GOIANA,2606200.0,85806.0,408,475.49122438990275,178,43.627450980392155,Microempresa,14,3.431372549019608,394,5,9,0,0,Lanchonetes,408,52,1,11,11,116,74,61,82
SC,8199,MAFRA,4210100.0,57501.0,408,709.5528773412636,195,47.794117647058826,Microempresa,22,5.392156862745098,386,13,9,0,0,Lanchonetes,408,73,2,18,7,128,73,41,66
MG,5387,TRES PONTAS,3169406.0,57325.0,408,711.7313563017881,188,46.07843137254902,Microempresa,10,2.450980392156863,398,9,1,0,0,Lanchonetes,408,75,1,8,8,117,89,42,68
RS,7297,IMBE,4310330.0,28029.0,405,1444.9320346783688,185,45.67901234567901,Microempresa,9,2.2222222222222223,396,7,2,0,0,Lanchonetes,405,60,1,10,7,121,62,38,106
RS,5785,XANGRI-LA,4323804.0,16949.0,405,2389.5215056935513,202,49.876543209876544,Microempresa,38,9.382716049382717,367,25,13,0,0,Restaurantes,405,61,0,4,8,114,38,29,151
SP,6771,NOVO HORIZONTE,3533502.0,39548.0,405,1024.0720137554363,171,42.22222222222222,Microempresa,13,3.2098765432098766,392,11,2,0,0,Lanchonetes,405,73,1,7,19,165,65,26,49
MG,4861,MONTE CARMELO,3143104.0,49637.0,404,813.9089791889115,173,42.82178217821782,Microempresa,11,2.722772277227723,393,8,3,0,0,Lanchonetes,404,76,2,7,9,153,52,46,59
MG,4223,CAMPO BELO,3111200.0,54106.0,404,746.682438176912,200,49.504950495049506,Microempresa,5,1.2376237623762376,399,5,0,0,0,Lanchonetes,404,79,12,8,2,154,45,49,55
MG,4083,ARCOS,3104205.0,43941.0,403,917.1388907853714,187,46.40198511166253,Microempresa,23,5.707196029776675,380,14,9,0,0,Lanchonetes,403,59,2,19,15,140,50,44,74
GO,9677,SANTO ANTONIO DO DESCOBERTO,5219753.0,75814.0,403,531.5640910649748,225,55.831265508684865,Microempresa,6,1.488833746898263,397,3,3,0,0,Lanchonetes,403,58,0,7,15,123,77,34,89
SP,6605,JARINU,3525201.0,40433.0,402,994.2373803576286,199,49.50248756218906,Microempresa,25,6.218905472636816,377,7,18,0,0,Lanchonetes,402,73,1,23,16,103,47,50,89
AL,2789,MARAGOGI,2704500.0,33283.0,402,1207.823813959078,181,45.024875621890544,Microempresa,27,6.7164179104477615,375,21,6,0,0,Restaurantes,402,24,2,11,9,105,62,14,175
PR,7887,SAO MATEUS DO SUL,4125605.0,43558.0,400,918.3158088066486,149,37.25,Microempresa,15,3.75,385,11,4,0,0,Lanchonetes,400,74,2,7,12,113,83,32,77
MG,4209,CAMANDUCAIA,3110509.0,28152.0,400,1420.8581983518045,191,47.75,Microempresa,21,5.25,379,13,8,0,0,Restaurantes,400,44,1,8,11,133,19,31,153
RS,8927,TAQUARA,4321204.0,54353.0,397,730.4104649237393,174,43.8287153652393,Microempresa,24,6.045340050377834,373,16,8,0,0,Outros Food Service,397,67,2,14,12,87,91,48,76
SP,7197,TREMEMBE,3554805.0,53734.0,396,736.9635612461384,197,49.74747474747475,Microempresa,8,2.0202020202020203,388,5,3,0,0,Lanchonetes,396,96,1,11,11,111,55,46,65
PR,7687,MARIALVA,4114807.0,45360.0,396,873.015873015873,200,50.505050505050505,Microempresa,10,2.525252525252525,386,4,6,0,0,Lanchonetes,396,74,0,17,11,136,80,33,45
ES,5655,ITAPEMIRIM,3202801.0,44621.0,395,885.233410277672,169,42.78481012658228,Microempresa,20,5.063291139240507,375,20,0,0,0,Lanchonetes,395,67,1,5,8,114,86,21,93
PR,7731,PAICANDU,4117503.0,49694.0,393,790.839940435465,208,52.926208651399484,Microempresa,4,1.0178117048346056,389,3,1,0,0,Alimentação preparada,393,124,0,10,22,96,60,41,40
MS,9123,NOVA ANDRADINA,5006200.0,51081.0,392,767.4086255163368,168,42.857142857142854,Microempresa,20,5.1020408163265305,372,20,0,0,0,Lanchonetes,392,61,5,5,29,118,56,41,77
MS,9125,PARANAIBA,5006309.0,42728.0,386,903.3888784871746,182,47.15025906735752,Microempresa,10,2.5906735751295336,376,7,3,0,0,Lanchonetes,386,63,2,12,7,108,55,32,107
SP,6565,ITARARE,3523206.0,45111.0,385,853.450377956596,174,45.19480519480519,Microempresa,1,0.2597402597402597,384,1,0,0,0,Lanchonetes,385,54,1,2,4,106,104,36,78
CE,1493,PACAJUS,2309607.0,76051.0,385,506.2392341981039,180,46.75324675324675,Microempresa,9,2.3376623376623376,376,5,4,0,0,Lanchonetes,385,81,0,10,11,104,48,30,101
MG,5029,PIUMHI,3151503.0,38257.0,385,1006.3517787594426,177,45.97402597402597,Microempresa,8,2.0779220779220777,377,6,2,0,0,Outros Food Service,385,40,0,6,6,74,176,27,56
SC,8357,TIMBO,4218202.0,50613.0,385,760.6741351036295,172,44.675324675324674,Microempresa,45,11.688311688311687,340,30,15,0,0,Lanchonetes,385,79,1,19,25,93,25,63,80
RS,8851,SANTIAGO,4317400.0,50336.0,385,764.8601398601398,175,45.45454545454545,Microempresa,6,1.5584415584415585,379,6,0,0,0,Outros Food Service,385,70,1,4,4,85,150,16,55
PB,1975,CAJAZEIRAS,2503704.0,66976.0,385,574.8327759197324,147,38.18181818181819,Microempresa,9,2.3376623376623376,376,7,2,0,0,Lanchonetes,385,49,1,7,14,120,57,17,120
RJ,5893,SANTO ANTONIO DE PADUA,3304706.0,43703.0,383,876.3700432464591,135,35.24804177545692,Microempresa,2,0.5221932114882507,381,0,2,0,0,Lanchonetes,383,86,2,3,7,97,71,43,74
GO,9563,QUIRINOPOLIS,5218508.0,50665.0,379,748.0509227277213,188,49.6042216358839,Microempresa,11,2.9023746701846966,368,9,2,0,0,Lanchonetes,379,50,4,6,14,143,47,33,82
SP,6363,CRAVINHOS,3513108.0,34356.0,378,1100.2444987775061,170,44.97354497354497,Microempresa,34,8.994708994708994,344,18,16,0,0,Lanchonetes,378,66,0,9,10,104,70,47,72
MG,5213,SANTOS DUMONT,3160702.0,43054.0,377,875.6445394156176,160,42.44031830238727,Microempresa,8,2.122015915119363,369,8,0,0,0,Lanchonetes,377,50,0,4,11,139,72,36,65
SP,7033,SANTA FE DO SUL,3546603.0,36458.0,377,1034.066597180317,172,45.62334217506631,Microempresa,12,3.183023872679045,365,8,4,0,0,Lanchonetes,377,66,4,7,8,133,37,32,90
SP,6113,AGUDOS,3500709.0,39084.0,376,962.0304984136732,173,46.01063829787234,Microempresa,15,3.9893617021276597,361,3,12,0,0,Lanchonetes,376,71,1,22,13,92,92,33,52
SC,8083,CONCORDIA,4204301.0,88402.0,376,425.3297436709577,175,46.54255319148936,Microempresa,53,14.095744680851062,323,49,4,0,0,Lanchonetes,376,100,4,13,8,106,27,44,74
RS,8649,ESTANCIA VELHA,4307609.0,49500.0,375,757.5757575757576,187,49.86666666666667,Microempresa,46,12.266666666666666,329,33,13,0,0,Alimentação preparada,375,84,1,38,9,70,67,40,66
MG,4147,BOM DESPACHO,3107406.0,54738.0,375,685.0816617340787,169,45.06666666666666,Microempresa,10,2.666666666666667,365,7,3,0,0,Lanchonetes,375,72,2,8,6,113,58,45,71
SP,6603,JARDINOPOLIS,3525102.0,47354.0,375,791.9077585842801,166,44.266666666666666,Microempresa,7,1.866666666666667,368,3,4,0,0,Outros Food Service,375,74,2,10,11,80,112,34,52
SP,6865,ESPIRITO SANTO DO PINHAL,3515186.0,40547.0,374,922.3863664389474,157,41.97860962566845,Microempresa,13,3.4759358288770055,361,8,5,0,0,Lanchonetes,374,70,2,4,3,106,99,38,52
GO,9543,PIRENOPOLIS,5217302.0,28292.0,374,1321.928460342146,169,45.18716577540107,Microempresa,21,5.614973262032086,353,18,3,0,0,Restaurantes,374,38,2,5,13,110,50,21,135
SP,6157,ARACOIABA DA SERRA,3502903.0,33989.0,373,1097.4138691929743,202,54.15549597855228,Microempresa,14,3.753351206434316,359,7,7,0,0,Alimentação preparada,373,112,0,13,6,81,74,29,58
SC,8339,SAO MIGUEL DO OESTE,4217204.0,48490.0,372,767.168488348113,185,49.73118279569893,Microempresa,32,8.60215053763441,340,26,6,0,0,Restaurantes,372,77,7,6,10,82,66,32,92
PA,443,CAPANEMA,1502202.0,75791.0,372,490.82344869443597,166,44.623655913978496,Microempresa,17,4.56989247311828,355,14,3,0,0,Lanchonetes,372,55,1,12,16,104,64,33,87
MS,9787,CHAPADAO DO SUL,5002951.0,35384.0,371,1048.4964955912278,170,45.82210242587601,Microempresa,13,3.5040431266846364,358,12,1,0,0,Lanchonetes,371,74,5,7,17,108,48,39,73
RS,8869,SAO GABRIEL,4318309.0,60090.0,370,615.7430520885339,138,37.2972972972973,Microempresa,7,1.891891891891892,363,5,2,0,0,Lanchonetes,370,76,3,4,8,127,56,38,58
BA,3909,SERRINHA,2930501.0,84928.0,369,434.4856819894499,154,41.734417344173444,Microempresa,4,1.084010840108401,365,4,0,0,0,Restaurantes,369,58,0,10,15,81,77,38,90
SP,6843,PEDREIRA,3537107.0,44433.0,369,830.4638444399434,130,35.230352303523034,Microempresa,11,2.9810298102981028,358,5,6,0,0,Lanchonetes,369,39,7,13,4,139,73,37,57
CE,1453,LIMOEIRO DO NORTE,2307601.0,62945.0,369,586.2260703789023,170,46.070460704607044,Microempresa,4,1.084010840108401,365,1,3,0,0,Restaurantes,369,49,1,12,25,75,58,46,103
AM,241,ITACOATIARA,1301902.0,115218.0,369,320.2624589907827,189,51.21951219512195,Microempresa,40,10.840108401084011,329,39,1,0,0,Restaurantes,369,39,0,10,16,102,57,34,111
BA,3855,SANTA CRUZ CABRALIA,2927705.0,31148.0,368,1181.4562732759728,186,50.54347826086957,Microempresa,5,1.358695652173913,363,3,2,0,0,Restaurantes,368,45,1,2,14,75,58,13,160
CE,1549,SAO GONCALO DO AMARANTE,2312403.0,58848.0,368,625.3398586188146,177,48.09782608695652,Microempresa,12,3.260869565217391,356,5,7,0,0,Restaurantes,368,33,1,21,14,97,49,20,133
BA,3595,ITABERABA,2914703.0,68590.0,367,535.0634203236624,160,43.596730245231605,Microempresa,4,1.08991825613079,363,3,1,0,0,Lanchonetes,367,51,0,15,14,90,66,47,84
SP,6467,GUARAREMA,3518305.0,32785.0,366,1116.3641909409791,133,36.33879781420765,Microempresa,27,7.377049180327869,339,12,15,0,0,Restaurantes,366,75,2,14,12,108,25,20,110
RN,1639,CAICO,2402006.0,63338.0,366,577.8521582620228,161,43.98907103825137,Microempresa,14,3.825136612021858,352,8,6,0,0,Lanchonetes,366,76,3,6,9,111,53,31,77
MG,730,SARZEDO,3165537.0,40585.0,366,901.8110139213995,190,51.91256830601093,Microempresa,13,3.551912568306011,353,8,5,0,0,Restaurantes,366,76,0,13,11,61,61,57,87
SP,7103,SAO MANUEL,3550100.0,38099.0,363,952.7809128848526,121,33.33333333333333,Microempresa,7,1.9283746556473829,356,6,1,0,0,Outros Food Service,363,83,5,4,3,88,105,34,41
MG,4725,JOAO PINHEIRO,3136306.0,48906.0,363,742.2402159244265,169,46.5564738292011,Microempresa,10,2.7548209366391188,353,7,3,0,0,Lanchonetes,363,54,12,13,14,94,59,32,85
SC,8383,XANXERE,4219507.0,55573.0,362,651.3954618249869,158,43.646408839779006,Microempresa,15,4.143646408839778,347,13,2,0,0,Outros Food Service,362,54,2,9,15,80,106,44,52
RS,8423,ELDORADO DO SUL,4306767.0,41013.0,361,880.2087143100969,171,47.368421052631575,Microempresa,28,7.756232686980609,333,20,8,0,0,Alimentação preparada,361,79,0,30,4,71,57,44,76
SE,3141,ESTANCIA,2802106.0,67136.0,358,533.2459485224023,165,46.089385474860336,Microempresa,15,4.189944134078212,343,10,5,0,0,Restaurantes,358,59,0,10,17,93,44,39,96
CE,1343,BEBERIBE,2302206.0,56272.0,358,636.1956212681263,155,43.296089385474865,Microempresa,1,0.27932960893854747,357,0,1,0,0,Restaurantes,358,47,0,4,9,81,73,20,124
MG,2673,SANTANA DO PARAISO,3158953.0,49978.0,357,714.3142982912482,174,48.739495798319325,Microempresa,8,2.2408963585434174,349,6,2,0,0,Lanchonetes,357,80,1,15,12,87,59,54,49
MS,9113,NAVIRAI,5005707.0,53307.0,357,669.7056671731667,172,48.17927170868347,Microempresa,11,3.081232492997199,346,10,1,0,0,Lanchonetes,357,93,2,12,12,102,50,39,47
MG,5241,SAO GOTARDO,3162104.0,44364.0,356,802.4524389144352,155,43.53932584269663,Microempresa,5,1.4044943820224718,351,5,0,0,0,Lanchonetes,356,75,0,9,11,109,40,54,58
SC,8379,VIDEIRA,4219309.0,59839.0,356,594.929728103745,158,44.38202247191011,Microempresa,28,7.865168539325842,328,19,9,0,0,Lanchonetes,356,72,4,13,13,103,35,38,78
SP,6615,JOSE BONIFACIO,3525706.0,38111.0,354,928.8656818241453,119,33.61581920903955,Microempresa,1,0.2824858757062147,353,0,1,0,0,Lanchonetes,354,31,0,2,7,133,106,30,45
SP,7231,VARGEM GRANDE DO SUL,3556404.0,41283.0,354,857.4958215245985,135,38.13559322033898,Microempresa,10,2.824858757062147,344,9,1,0,0,Outros Food Service,354,58,1,8,7,108,114,35,23
PE,2333,BELO JARDIM,2601706.0,84389.0,353,418.30096339570326,187,52.97450424929179,Microempresa,8,2.26628895184136,345,4,4,0,0,Restaurantes,353,52,1,17,10,91,56,27,99
SP,7133,SERRA NEGRA,3551603.0,31155.0,353,1133.0444551436367,128,36.26062322946176,Microempresa,14,3.9660056657223794,339,13,1,0,0,Lanchonetes,353,32,2,4,7,161,32,32,83
GO,9633,URUACU,5221601.0,44907.0,353,786.0689870176142,151,42.77620396600567,Microempresa,12,3.39943342776204,341,7,5,0,0,Lanchonetes,353,40,1,10,6,105,55,35,101
SP,6449,GUAIRA,3517406.0,40547.0,353,870.5946185907712,137,38.81019830028329,Microempresa,9,2.5495750708215295,344,6,3,0,0,Outros Food Service,353,74,2,5,13,86,112,27,34
AC,107,CRUZEIRO DO SUL,1200203.0,99404.0,353,355.11649430606417,185,52.40793201133145,Microempresa,6,1.69971671388102,347,4,2,0,0,Restaurantes,353,37,1,4,10,113,55,14,119
RS,8799,PORTAO,4314803.0,35274.0,353,1000.7370868061461,156,44.19263456090651,Microempresa,28,7.932011331444759,325,20,8,0,0,Outros Food Service,353,58,2,22,8,76,102,33,52
SP,6473,GUARIBA,3518602.0,38740.0,352,908.6215797625193,138,39.20454545454545,Microempresa,11,3.125,341,9,2,0,0,Lanchonetes,352,48,1,14,6,117,78,40,48
PR,7733,PALMAS,4117602.0,50564.0,352,696.1474566885531,165,46.875,Microempresa,6,1.7045454545454544,346,4,2,0,0,Lanchonetes,352,55,2,8,1,134,63,27,62
PE,2543,SALGUEIRO,2612208.0,66233.0,352,531.4571286216841,162,46.02272727272727,Microempresa,10,2.840909090909091,342,7,3,0,0,Restaurantes,352,51,3,10,6,94,51,28,109
SP,6905,PONTAL,3540200.0,38206.0,350,916.0864785635764,162,46.285714285714285,Microempresa,11,3.1428571428571432,339,5,6,0,0,Outros Food Service,350,48,1,11,4,88,129,28,41
MG,4029,ALEM PARAIBA,3101508.0,30994.0,347,1119.5715299735432,144,41.4985590778098,Microempresa,13,3.7463976945244957,334,9,4,0,0,Lanchonetes,347,68,5,5,3,100,92,25,49
PB,2225,SOUSA,2516201.0,70247.0,347,493.97127279456777,141,40.63400576368876,Microempresa,19,5.475504322766571,328,14,5,0,0,Lanchonetes,347,51,2,11,18,93,52,31,89
MS,9809,SAO GABRIEL DO OESTE,5007695.0,32696.0,346,1058.233423048691,171,49.421965317919074,Microempresa,7,2.023121387283237,339,6,1,0,0,Outros Food Service,346,52,0,9,16,81,94,26,68
CE,1383,CRATEUS,2304103.0,80435.0,346,430.160999564866,161,46.53179190751445,Microempresa,1,0.2890173410404624,345,1,0,0,0,Restaurantes,346,42,0,7,14,102,35,34,112
MG,4199,CAETE,3110004.0,39704.0,343,863.8928067700988,119,34.69387755102041,Microempresa,11,3.206997084548105,332,6,5,0,0,Lanchonetes,343,64,3,10,13,90,68,27,68
MS,9157,SIDROLANDIA,5007901.0,50079.0,343,684.9178298288704,176,51.31195335276968,Microempresa,22,6.41399416909621,321,21,1,0,0,Restaurantes,343,70,0,6,16,77,60,36,78
SP,7143,SOCORRO,3552106.0,41633.0,343,823.8656834722457,127,37.02623906705539,Microempresa,14,4.081632653061225,329,12,2,0,0,Lanchonetes,343,49,2,9,2,139,49,30,63
MS,9107,MARACAJU,5005400.0,48564.0,342,704.2253521126761,152,44.44444444444444,Microempresa,10,2.923976608187134,332,6,4,0,0,Lanchonetes,342,58,6,13,17,95,52,29,72
ES,5631,CONCEICAO DA BARRA,3201605.0,28891.0,341,1180.2983628119482,119,34.89736070381232,Microempresa,9,2.6392961876832843,332,9,0,0,0,Restaurantes,341,53,1,8,5,79,70,25,100
PR,7859,SANTO ANTONIO DA PLATINA,4124103.0,45730.0,341,745.6811720970917,147,43.10850439882698,Microempresa,6,1.7595307917888565,335,4,2,0,0,Lanchonetes,341,46,1,7,10,129,73,29,46
RN,1651,CEARA-MIRIM,2402600.0,83662.0,341,407.5924553560756,180,52.785923753665685,Microempresa,11,3.225806451612903,330,6,5,0,0,Restaurantes,341,45,4,7,8,83,67,32,95
MT,9831,JUINA,5105150.0,48987.0,340,694.0616898360789,162,47.647058823529406,Microempresa,11,3.2352941176470593,329,11,0,0,0,Lanchonetes,340,70,0,6,9,106,71,21,57
GO,9431,JARAGUA,5211800.0,46835.0,340,725.9528130671506,147,43.23529411764706,Microempresa,4,1.1764705882352942,336,2,2,0,0,Lanchonetes,340,34,0,6,8,108,58,41,85
CE,985,JIJOCA DE JERICOACOARA,2307254.0,28707.0,340,1184.380116347929,165,48.529411764705884,Microempresa,20,5.88235294117647,320,14,6,0,0,Restaurantes,340,21,2,1,6,70,15,17,208
MG,4107,BARAO DE COCAIS,3105400.0,32424.0,340,1048.6059708857636,171,50.294117647058826,Microempresa,19,5.588235294117648,321,18,1,0,0,Lanchonetes,340,69,3,18,11,86,46,35,72
SP,7191,TIETE,3554508.0,38749.0,339,874.8612867428836,144,42.47787610619469,Microempresa,17,5.014749262536873,322,4,13,0,0,Lanchonetes,339,72,0,18,14,89,57,48,41
RS,8955,VENANCIO AIRES,4322608.0,70842.0,336,474.29490979927164,110,32.73809523809524,Microempresa,30,8.928571428571429,306,23,7,0,0,Lanchonetes,336,74,0,12,11,87,41,29,82
PB,2027,GUARABIRA,2506301.0,60265.0,336,557.5375425205343,163,48.51190476190476,Microempresa,4,1.1904761904761905,332,3,1,0,0,Lanchonetes,336,45,0,2,9,98,67,38,77
MG,4051,ANDRADAS,3102605.0,42708.0,335,784.3963660204176,142,42.38805970149254,Microempresa,13,3.880597014925373,322,13,0,0,0,Lanchonetes,335,34,1,3,5,127,62,56,47
MG,4919,OURO FINO,3146008.0,33340.0,334,1001.7996400719857,145,43.41317365269461,Microempresa,7,2.095808383233533,327,6,1,0,0,Lanchonetes,334,38,2,5,3,110,86,34,56
SP,6191,BADY BASSITT,3504602.0,29738.0,333,1119.7794068195574,164,49.249249249249246,Microempresa,5,1.5015015015015014,328,5,0,0,0,Lanchonetes,333,65,3,12,9,87,61,49,47
SE,3169,LAGARTO,2803500.0,106330.0,332,312.23549327565127,160,48.19277108433735,Microempresa,14,4.216867469879518,318,14,0,0,0,Lanchonetes,332,40,1,6,7,106,55,41,76
MG,722,SAO JOAQUIM DE BICAS,3162922.0,37509.0,332,885.1209043162974,171,51.50602409638554,Microempresa,16,4.819277108433735,316,10,6,0,0,Alimentação preparada,332,85,3,18,6,70,52,30,68
BA,3811,PRADO,2925501.0,37733.0,332,879.8664299154586,165,49.6987951807229,Microempresa,6,1.8072289156626504,326,4,2,0,0,Restaurantes,332,39,2,3,5,64,48,12,159
SP,6507,IGUAPE,3520301.0,29900.0,331,1107.0234113712374,123,37.160120845921455,Microempresa,8,2.416918429003021,323,8,0,0,0,Lanchonetes,331,60,1,6,16,89,69,17,73
PR,7445,BANDEIRANTES,4102406.0,31690.0,330,1041.337961502051,131,39.696969696969695,Microempresa,4,1.2121212121212122,326,2,2,0,0,Lanchonetes,330,57,5,4,13,111,55,42,43
MG,4265,CARANGOLA,3113305.0,32105.0,329,1024.7624980532628,123,37.38601823708207,Microempresa,5,1.5197568389057752,324,2,3,0,0,Lanchonetes,329,39,2,9,3,109,64,38,65
RS,8721,JAGUARAO,4311007.0,27396.0,329,1200.9052416411155,128,38.90577507598784,Microempresa,5,1.5197568389057752,324,4,1,0,0,Outros Food Service,329,68,0,5,9,90,103,26,28
SP,6101,ADAMANTINA,3500105.0,35701.0,328,918.7417719391614,144,43.90243902439025,Microempresa,6,1.8292682926829267,322,5,1,0,0,Lanchonetes,328,68,1,2,6,114,71,29,37
MG,4703,JANUARIA,3135209.0,67157.0,328,488.4077609184448,136,41.46341463414634,Microempresa,10,3.048780487804878,318,8,2,0,0,Lanchonetes,328,47,3,7,7,92,42,39,91
MA,723,BACABAL,2101202.0,107874.0,328,304.05843854867715,187,57.012195121951216,Microempresa,8,2.4390243902439024,320,7,1,0,0,Restaurantes,328,25,0,8,8,89,67,35,96
RS,8831,ROSARIO DO SUL,4316402.0,37673.0,328,870.650067687734,122,37.19512195121951,Microempresa,8,2.4390243902439024,320,7,1,0,0,Outros Food Service,328,47,0,6,6,83,107,46,33
SP,6931,PRESIDENTE VENCESLAU,3541505.0,35728.0,328,918.0474697716077,133,40.54878048780488,Microempresa,7,2.1341463414634148,321,6,1,0,0,Lanchonetes,328,76,0,6,10,81,73,28,54
MS,9141,RIBAS DO RIO PARDO,5007109.0,24300.0,325,1337.4485596707818,165,50.76923076923077,Microempresa,38,11.692307692307692,287,35,3,0,0,Lanchonetes,325,46,1,21,8,100,47,17,85
CE,1337,BARBALHA,2301901.0,82602.0,324,392.2423185879277,166,51.23456790123457,Microempresa,5,1.5432098765432098,319,5,0,0,0,Restaurantes,324,28,4,9,9,98,35,32,109
SC,8259,POMERODE,4213203.0,37602.0,324,861.656294877932,142,43.82716049382716,Microempresa,38,11.728395061728394,286,25,13,0,0,Lanchonetes,324,61,1,21,7,96,26,37,75
PA,523,SALINOPOLIS,1506203.0,49140.0,323,657.3056573056573,152,47.05882352941176,Microempresa,22,6.811145510835913,301,17,5,0,0,Restaurantes,323,29,0,11,4,59,32,9,179
MG,4141,BOA ESPERANCA,3107109.0,41547.0,323,777.4327869641611,147,45.51083591331269,Microempresa,11,3.4055727554179565,312,8,3,0,0,Lanchonetes,323,45,0,6,10,100,49,43,70
