uf,codigo_municipio,municipio,CÓDIGO DO MUNICÍPIO - IBGE,populacao,estabelecimentos_food_service,food_service_por_100mil,estabelecimentos_recentes,taxa_recencia,porte_dominante,porte_maior,taxa_porte_maior,Microempresa,Empresa de Pequeno Porte,Demais,Não informado,Não encontrado,segmento_dominante,total_segmentos,Alimentação preparada,Cantinas,Catering empresarial,Eventos e buffet,Lanchonetes,Outros Food Service,Padarias e confeitaria,Restaurantes
CE,1559,SOBRAL,2312908.0,217690.0,1384,635.7664568882356,687,49.638728323699425,Microempresa,41,2.9624277456647397,1343,29,12,0,0,Lanchonetes,1384,206,7,31,45,442,192,138,323
MG,4895,NOVA LIMA,3144805.0,122683.0,1382,1126.4804414629573,639,46.237337192474676,Microempresa,157,11.360347322720694,1225,116,41,0,0,Restaurantes,1382,263,8,47,49,298,140,171,406
SC,8163,ITAPEMA,4208302.0,88842.0,1376,1548.8170009680107,768,55.81395348837209,Microempresa,81,5.886627906976744,1295,63,18,0,0,Lanchonetes,1376,330,3,36,30,387,189,91,310
MG,5413,VARGINHA,3170701.0,144503.0,1373,950.1532840148647,619,45.083758193736344,Microempresa,92,6.700655498907501,1281,64,28,0,0,Lanchonetes,1373,280,10,33,31,442,165,153,259
SP,6427,FRANCISCO MORATO,3516309.0,171806.0,1371,797.9930852240318,793,57.840991976659375,Microempresa,35,2.5528811086797956,1336,22,13,0,0,Lanchonetes,1371,270,14,37,29,343,255,180,243
SP,6179,ASSIS,3504008.0,105051.0,1363,1297.4650407897116,577,42.333088774761556,Microempresa,44,3.2281731474688184,1319,36,8,0,0,Lanchonetes,1363,279,14,29,42,429,170,149,251
RJ,5903,SAO PEDRO DA ALDEIA,3305208.0,110735.0,1358,1226.351198807965,707,52.0618556701031,Microempresa,35,2.5773195876288657,1323,24,11,0,0,Lanchonetes,1358,295,8,28,51,325,219,164,268
SP,6831,PAULINIA,3536505.0,117554.0,1335,1135.6482978035626,654,48.98876404494382,Microempresa,115,8.614232209737828,1220,59,56,0,0,Outros Food Service,1335,229,12,82,37,267,309,166,233
ES,5697,SAO MATEUS,3204906.0,135450.0,1331,982.6504245108897,625,46.95717505634861,Microempresa,65,4.883546205860256,1266,56,9,0,0,Lanchonetes,1331,229,9,36,44,338,212,128,335
BA,3363,BARREIRAS,2903201.0,172521.0,1328,769.7613623848691,669,50.37650602409639,Microempresa,41,3.087349397590361,1287,28,13,0,0,Restaurantes,1328,191,8,52,44,323,189,117,404
SP,7243,VOTORANTIM,3557006.0,134103.0,1326,988.7921970425718,685,51.65912518853696,Microempresa,103,7.7677224736048265,1223,61,42,0,0,Lanchonetes,1326,290,11,37,40,334,259,165,190
SP,6429,FRANCO DA ROCHA,3516408.0,150648.0,1314,872.2319579416918,702,53.42465753424658,Microempresa,40,3.0441400304414,1274,20,20,0,0,Lanchonetes,1314,288,10,42,42,324,195,147,266
SP,7005,SALTO,3545209.0,141994.0,1302,916.9401524008057,626,48.07987711213518,Microempresa,83,6.374807987711213,1219,38,45,0,0,Lanchonetes,1302,292,15,52,27,330,210,171,205
